name,country,region,rating,rating_count,price
Meiomi Pinot Noir,"('United States',)","('California',)",4.1,183692,19.45
Catena Malbec 2024,"('Argentina',)","('Mendoza',)",4.0,166286,32.63
Veuve Clicquot Brut (Carte Jaune) Champagne,"('France',)","('Champagne',)",4.3,145394,48.0
The Prisoner Red Blend 2024,"('United States',)","('California',)",4.4,144286,39.99
Moët & Chandon Impérial Brut Champagne,"('France',)","('Champagne',)",4.1,139734,45.94
Félix Solís Mucho Más Tinto,"('Spain',)","('Vino de España',)",4.1,109014,12.99
19 Crimes Red Blend,"('Australia',)","('Victoria',)",4.0,108615,10.49
Casal Garcia Vinho Verde,"('Portugal',)","('Vinho Verde',)",3.8,95250,7.99
Château Mouton Rothschild Pauillac (Premier Grand Cru Classé) 2023,"('France',)","('Pauillac',)",4.6,89503,652.49
Josh Cellars Cabernet Sauvignon 2024,"('United States',)","('California',)",3.8,89316,15.97
Kim Crawford Sauvignon Blanc 2025,"('New Zealand',)","('Marlborough',)",4.0,79638,19.97
Piccini Memoro Rosso,"('Italy',)","('Toscana',)",3.8,77347,18.33
Bollinger Special Cuvée Brut Aÿ Champagne,"('France',)","('Champagne',)",4.3,73000,57.99
Laurent-Perrier La Cuvée Brut Champagne,"('France',)","('Champagne',)",4.1,62086,49.99
Seghesio Sonoma Zinfandel 2024,"('United States',)","('Sonoma County',)",4.1,61667,20.25
Louis M. Martini Sonoma County Cabernet Sauvignon 2022,"('United States',)","('Sonoma County',)",3.8,59426,22.13
Silver Oak Alexander Valley Cabernet Sauvignon 1984,"('United States',)","('Alexander Valley',)",4.4,58186,410.0
Belle Glos Clark & Telephone Vineyard Pinot Noir 2024,"('United States',)","('Santa Maria Valley',)",4.4,56620,36.99
Taittinger Brut (Réserve) Champagne,"('France',)","('Champagne',)",4.2,56596,64.39
Château Margaux Château Margaux (Premier Grand Cru Classé) 2023,"('France',)","('Margaux',)",4.6,54798,734.99
Whitehaven Sauvignon Blanc 2025,"('New Zealand',)","('Marlborough',)",4.1,50741,18.61
Perrier-Jouët Grand Brut Champagne,"('France',)","('Champagne',)",4.2,50567,56.99
Juan Gil Jumilla Silver Label 2006,"('Spain',)","('Jumilla',)",4.0,49882,52.49
Château de Beaucastel Châteauneuf-du-Pape 2023,"('France',)","('Châteauneuf-du-Pape',)",4.4,49298,104.94
Trapiche Oak Cask Malbec 2025,"('Argentina',)","('Mendoza',)",3.7,48580,14.0
Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2023,"('France',)","('Pessac-Léognan',)",4.6,48061,644.99
Ruinart Blanc de Blancs Brut Champagne,"('France',)","('Champagne',)",4.4,47823,84.97
