,name,country,region,rating,rating_count,price,value_for_money,price_category
11,Piccini Memoro Rosso,Italy,Toscana,3.8,77347,18,0.21,Budget
51,La Marca Prosecco,Italy,Prosecco,3.8,34068,12,0.3,Budget
56,Masciarelli Montepulciano d'Abruzzo 2024,Italy,Montepulciano d'Abruzzo,3.7,31526,12,0.31,Budget
58,Mionetto Prestige Collection Brut Prosecco Treviso,Italy,Prosecco di Treviso,3.6,30634,11,0.33,Budget
61,Ferrari Trento Brut,Italy,Trento,3.8,28806,32,0.12,Budget
65,Ca' del Bosco Franciacorta Cuvée Prestige,Italy,Franciacorta,4.1,27547,44,0.09,Budget
67,Martini Asti,Italy,Asti,3.8,27249,15,0.25,Budget
70,Monte Antico Rosso 2022,Italy,Toscana,3.7,25632,25,0.15,Budget
82,Punica Barrua 2022,Italy,Isola dei Nuraghi,4.2,22368,50,0.08,Budget
83,Punica Barrua 2021,Italy,Isola dei Nuraghi,4.2,22368,49,0.09,Budget
107,Cantine Leonardo da Vinci Da Vinci Chianti 2024,Italy,Chianti,3.5,19344,14,0.25,Budget
115,Castello di Monsanto Chianti Classico Riserva 2022,Italy,Chianti Classico,4.0,18262,35,0.11,Budget
121,Villa Degli Olmi Corte dei Rovi Prosecco,Italy,Prosecco,4.2,17905,14,0.3,Budget
126,La Gioiosa Prosecco Treviso,Italy,Prosecco di Treviso,3.7,17564,16,0.23,Budget
127,Roscato Rosso Dolce – Sweet Red,Italy,Provincia di Pavia,4.2,17332,10,0.42,Budget
146,Tenuta Sette Ponti Oreno Toscana 2023,Italy,Toscana,4.3,15883,85,0.05,Mid Range
147,Santa Margherita Prosecco Superiore di Valdobbiadene Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,3.8,15795,23,0.17,Budget
148,Donnafugata Sherazade Nero d'Avola 2024,Italy,Terre Siciliane,3.8,15757,28,0.14,Budget
149,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2019,Italy,Valpolicella,4.5,15631,189,0.02,Premium
151,Vietti Barbera d'Asti Tre Vigne 2023,Italy,Barbera d'Asti,3.9,15582,20,0.2,Budget
153,Poggio Al Tesoro Bolgheri Superiore Sondraia 2021,Italy,Bolgheri Superiore,4.2,15475,115,0.04,Premium
161,Bellavista Alma Gran Cuvée Brut,Italy,Franciacorta,3.9,14959,35,0.11,Budget
169,Tenuta Ulisse Limited Edition 10 Vendemmie,Italy,Montepulciano d'Abruzzo,4.5,14627,40,0.11,Budget
170,Antinori Tignanello 2015,Italy,Toscana,4.6,14519,500,0.01,Premium
209,Poggio Al Tesoro Toscana Mediterra 2023,Italy,Toscana,3.9,12907,20,0.2,Budget
211,Ruffino Prosecco,Italy,Prosecco,3.7,12867,15,0.24,Budget
217,Gaja Sperss Barolo 2021,Italy,Barolo,4.6,12584,755,0.01,Premium
220,Tenuta Castiglioni Toscana 2022,Italy,Toscana,3.9,12555,37,0.11,Budget
231,Ruffino Orvieto Classico Bianco 2024,Italy,Orvieto,3.6,12166,12,0.29,Budget
239,Contadi Castaldi Franciacorta Brut,Italy,Franciacorta,3.8,11905,32,0.12,Budget
240,Carpenè Malvolti Conegliano Valdobbiadene Prosecco Superiore Extra Dry,Italy,Conegliano-Valdobbiadene Prosecco Superiore,3.8,11893,26,0.14,Budget
250,Santi Santico Amarone della Valpolicella Classico 2020,Italy,Amarone della Valpolicella Classico,4.2,11813,80,0.05,Mid Range
251,Michele Chiarlo Moscato d'Asti Nivole,Italy,Moscato d'Asti,4.2,11792,24,0.18,Budget
257,San Marzano I Tratturi Primitivo 2024,Italy,Puglia,3.8,11547,18,0.21,Budget
271,Ca' del Bosco Franciacorta Edizione Cuvée Prestige,Italy,Franciacorta,4.2,11212,40,0.11,Budget
279,Tolaini Al Passo Toscana 2022,Italy,Toscana,3.9,11084,28,0.14,Budget
291,Petrolo Galatrona 2023,Italy,Valdarno di Sopra,4.3,10762,107,0.04,Premium
293,Quintarelli Giuseppe Amarone della Valpolicella Classico 2018,Italy,Amarone della Valpolicella Classico,4.7,10729,574,0.01,Premium
296,Freixenet Prosecco,Italy,Prosecco,3.7,10684,17,0.22,Budget
297,Nino Franco Rustico Valdobbiadene Prosecco Superiore,Italy,Conegliano-Valdobbiadene Prosecco Superiore,3.9,10670,23,0.17,Budget
305,J. Hofstätter Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2024,Italy,Vigneti delle Dolomiti,3.7,10518,23,0.16,Budget
308,Stella Rosa Black Semi-Sweet Red,Italy,Piemonte,3.9,10496,13,0.3,Budget
309,Il Tauro Salice Salentino Riserva 2021,Italy,Salice Salentino,3.6,10445,13,0.28,Budget
314,Cesari Bosan Valpolicella Ripasso Superiore 2021,Italy,Valpolicella Ripasso,4.0,10388,37,0.11,Budget
320,Riondo Cuvée 18 Prosecco Frizzante (Spago Nero),Italy,Prosecco,4.0,10320,18,0.22,Budget
322,Prunotto Barolo Bussia 2021,Italy,Barolo,4.2,10259,120,0.04,Premium
328,Bottega Gold,Italy,Prosecco,3.7,10185,35,0.11,Budget
332,Borgo Scopeto Chianti Classico 2023,Italy,Chianti Classico,3.7,10064,23,0.16,Budget
339,Vietti Moscato d'Asti 2025,Italy,Moscato d'Asti,4.2,9931,17,0.25,Budget
355,Maschio Prosecco Treviso Extra Dry,Italy,Prosecco di Treviso,3.6,9539,20,0.18,Budget
360,Petrolo Toscana Torrione 2023,Italy,Toscana,3.9,9408,45,0.09,Budget
362,Michele Satta Bolgheri 1999,Italy,Bolgheri,3.8,9383,117,0.03,Premium
365,Banfi Belnero (Proprietor's Reserve) 2023,Italy,Toscana,3.9,9306,31,0.13,Budget
372,Tenuta Il Poggione Rosso di Montalcino 2023,Italy,Rosso di Montalcino,3.8,9183,39,0.1,Budget
380,Sassoregale Maremma Toscana Sangiovese 2023,Italy,Maremma Toscana,3.7,8995,21,0.18,Budget
386,La Spinetta Il Rosé di Casanova 2025,Italy,Toscana,4.0,8928,22,0.18,Budget
388,Mascarello Giuseppe e Figlio Barolo Monprivato 2021,Italy,Barolo,4.4,8858,422,0.01,Premium
396,Oddero Barolo 1961,Italy,Barolo,4.1,8635,400,0.01,Premium
397,Vini La Quercia Montepulciano d'Abruzzo 2023,Italy,Montepulciano d'Abruzzo,4.0,8635,16,0.25,Budget
401,Freixenet Italian Sparkling Rosé,Italy,Vino d'Italia,3.8,8582,17,0.22,Budget
403,G.D. Vajra Barolo Bricco Delle Viole 2022,Italy,Barolo,4.3,8537,100,0.04,Mid Range
406,Zonin Prosecco,Italy,Prosecco,3.6,8522,15,0.24,Budget
